,fold,method,MSE,MAE,r2
0,0,dtr,100885.0,131.0,-2.292182487488408
1,1,dtr,967.3333333333334,14.0,0.4401376183662642
2,2,dtr,2352.3333333333335,25.333333333333332,0.6451703462233043
3,3,dtr,30.166666666666668,3.1666666666666665,-0.22297297297297303
4,4,dtr,55.666666666666664,3.6666666666666665,0.021484375
5,5,dtr,4.666666666666667,1.3333333333333333,-0.07692307692307687
6,6,dtr,6.5,1.5,0.6502242152466368
7,7,dtr,3953.5,26.166666666666668,0.927916201558711
8,8,dtr,1769174.0,708.0,0.06614623735647307
9,9,dtr,154.6,7.4,-11.23101265822785
10,0,linear,1035.548084776681,18.939091124173334,0.9662069359205635
11,1,linear,257.87730236768795,9.197692698431924,0.8507486554036628
12,2,linear,807.1408117149258,13.290364482773887,0.8782496125393872
13,3,linear,28.458910029819368,3.770731648409811,-0.15373959580348795
14,4,linear,14.942096095500284,2.6663804347810287,0.7373459670712841
15,5,linear,6.6080297698142205,1.6567933756385476,-0.5249299468802049
16,6,linear,48.210470501533955,3.6598009805227405,-1.5942854081542932
17,7,linear,3077.8243950648043,23.93983486514699,0.943882313562278
18,8,linear,73737.79624933955,163.75009173366746,0.9610777015282344
19,9,linear,7.822965043813641,2.338874203049521,0.3810945376729714
20,0,logistic,36533.833333333336,80.83333333333333,-0.19220940973207368
21,1,logistic,967.1666666666666,13.833333333333334,0.4402340798379447
22,2,logistic,8138.0,44.0,-0.22754869878195416
23,3,logistic,5.166666666666667,1.5,0.7905405405405406
24,4,logistic,74.33333333333333,5.0,-0.306640625
25,5,logistic,4.5,1.1666666666666667,-0.03846153846153855
26,6,logistic,7.166666666666667,1.8333333333333333,0.6143497757847534
27,7,logistic,62019.0,102.66666666666667,-0.130786668908639
28,8,logistic,2788701.4,953.4,-0.47200857308510713
29,9,logistic,147.8,6.2,-10.693037974683547
30,0,knr,12134.22666666667,47.333333333333336,0.604023506653964
31,1,knr,1449.88,16.46666666666667,0.16085464863908938
32,2,knr,6458.293333333334,38.93333333333334,0.025820892395489792
33,3,knr,26.546666666666663,2.9333333333333336,-0.0762162162162161
34,4,knr,9.700000000000001,1.633333333333333,0.8294921875
35,5,knr,2.706666666666667,1.0666666666666667,0.3753846153846153
36,6,knr,2.566666666666667,1.2333333333333334,0.8618834080717488
37,7,knr,7535.513333333335,36.50000000000001,0.8626056850204512
38,8,knr,2290847.512,842.2,-0.20921773026494983
39,9,knr,9.799999999999995,2.1999999999999997,0.22468354430379767
40,0,svr,37410.23272378362,83.49696776250798,-0.2208089708688723
41,1,svr,2069.7296074105557,20.04772496577353,-0.1978949834693975
42,2,svr,8915.470013407246,47.930291132802004,-0.3448234964349468
43,3,svr,26.279806336319997,2.9099406401654933,-0.06539755417513504
44,4,svr,73.00981860509255,5.664981468631667,-0.28337571766764236
45,5,svr,4.473004390703355,1.6654812197789017,-0.03223178247000513
46,6,svr,19.1390835080595,2.751565357401373,-0.02990583899871746
47,7,svr,65574.59312423215,105.57269395615214,-0.19561546822731435
48,8,svr,2813342.664186178,959.1410227062119,-0.4850153984604266
49,9,svr,16.04422106768461,2.688649861000656,-0.26932128700036495
50,0,gbr,5534.514076331866,31.800648756982785,0.8193920769305858
51,1,gbr,37.98036612561058,3.5377816001187683,0.9780181479313519
52,2,gbr,4751.988871062104,33.65538302925637,0.2832025368274006
53,3,gbr,25.044851211063065,3.290956418818523,-0.015331805853908032
54,4,gbr,45.17757452764764,3.442386571367979,0.20586294775619374
55,5,gbr,2.6183836883364453,1.1137348222426002,0.39575761038389723
56,6,gbr,8.179234210778555,1.8653736381941632,0.5598618361912886
57,7,gbr,9535.48690616375,41.02825108177069,0.8261403525525589
58,8,gbr,1841745.197848285,733.2841518529334,0.027839724729581183
59,9,gbr,73.69067412590056,5.988220817116372,-4.829958396036438
60,0,rf,6062.617916666666,33.281666666666666,0.8021584523607727
61,1,rf,1077.5622666666663,14.74333333333333,0.3763405475796211
62,2,rf,681.6289333333331,14.446666666666664,0.8971820213608425
63,3,rf,19.605183333333333,2.5083333333333333,0.2051952702702703
64,4,rf,8.787666666666663,1.7933333333333332,0.8455292968750001
65,5,rf,6.3913833333333345,1.4783333333333333,-0.4749346153846157
66,6,rf,24.41223333333333,2.7433333333333327,-0.3136627802690579
67,7,rf,3238.511383333334,24.058333333333334,0.940952522623999
68,8,rf,1988269.5647399998,771.214,-0.049502770322227496
69,9,rf,84.79026000000002,6.222,-5.7080901898734195
