method,MSE,MAE,r2
gbr,184115.53650278732,85.4969691359368,0.05746820550344367
linear,7902.222931470414,24.320965554659526,0.3445650772860395
logistic,289659.8366666666,121.04333333333334,-1.021556909248962
rf,198965.090114,86.61753333333333,-3.4056514958328763
svr,292745.1635588919,123.18693190704258,-0.21243904977728226
