,fold,method,MSE,MAE,r2
0,0,svr,1271.1616114739354,22.24237162938938,-0.09068374795771095
1,1,svr,57684.06700178605,114.82458497004257,-0.23872681790022643
2,2,svr,310.0460694458646,13.978609708575574,-1.1119505203502604
3,3,svr,1427.7798776699328,26.915693133803572,-0.2700157045887921
4,4,svr,161.0570868677119,10.140535854980861,-1.1895978577181379
5,5,svr,249.51277709229666,13.991075958845556,-0.01336416689109643
6,6,svr,1310.0360776935881,24.929299888303007,-0.022467182590117485
7,7,svr,254.95152987342328,14.443931650828342,-0.19804922013356463
8,8,svr,771.2951887997149,17.691762152326508,-0.1764722220862034
9,9,svr,1624.8363600148045,29.230594311531718,-0.15518453533073906
10,0,svr_opt1,1259.3084622202502,22.421113885049962,-0.08051349333672597
11,1,svr_opt1,57417.372823125035,114.47988122784773,-0.23299973850974176
12,2,svr_opt1,310.93269110099146,14.12640485104349,-1.117989948843083
13,3,svr_opt1,1385.390794640468,26.497612733009593,-0.23231045184465438
14,4,svr_opt1,167.89861473350604,10.368132470068254,-1.2826095658633752
15,5,svr_opt1,247.68173414365012,13.99764948537666,-0.005927620619517571
16,6,svr_opt1,1302.3582525075567,25.148714840232426,-0.016474733664434416
17,7,svr_opt1,258.5633943888608,14.375525745048117,-0.2150218245658515
18,8,svr_opt1,753.635257228326,18.186764815069097,-0.1495351696588254
19,9,svr_opt1,1601.3306607763382,29.375197230987016,-0.13847305538074295
20,0,svr_opt2,1174.9509223710972,23.529305632081474,-0.008132926695414655
21,1,svr_opt2,55964.28862289132,113.66666666666667,-0.2017957256678442
22,2,svr_opt2,153.9987415543512,9.550440591681456,-0.04899805032292215
23,3,svr_opt2,1189.383285297056,23.801857869805797,-0.057961016769471074
24,4,svr_opt2,397.37952879024874,17.99510970332477,-4.402440723734499
25,5,svr_opt2,288.19681422204644,15.048482266248625,-0.17047442599206586
26,6,svr_opt2,1285.945588263284,27.388976869594575,-0.0036648493762216905
27,7,svr_opt2,433.4893345662315,19.51473062926206,-1.0370207602642392
28,8,svr_opt2,663.550970976005,18.636050676886477,-0.012127777571697695
29,9,svr_opt2,1472.165895236399,30.540050676886477,-0.046642798911101346
