method,MSE,MAE,r2
gbr,6475.518291411559,33.856025409045564,-2.1433911578880283
linear,36759.35171880209,83.53247468718136,-76.24081732805831
logistic,9617.939999999999,38.31333333333332,-6.273649497348241
rf,6704.735507333334,34.971333333333334,-4.221898125423237
svr,6473.140190257461,28.98283008294131,-0.36606030695895153
