,fold,method,MSE,MAE,r2
0,0,dtr,3957.0,27.0,0.8708711294742367
1,1,dtr,967.3333333333334,14.0,0.4401376183662642
2,2,dtr,10195.166666666666,46.833333333333336,-0.5378549490700197
3,3,dtr,30.0,3.0,-0.21621621621621623
4,4,dtr,54.833333333333336,3.5,0.0361328125
5,5,dtr,5.166666666666667,1.5,-0.1923076923076923
6,6,dtr,6.666666666666667,1.3333333333333333,0.641255605381166
7,7,dtr,26667.666666666668,67.33333333333333,0.5137709095992204
8,8,dtr,1996233.8,769.8,-0.053706670596666006
9,9,dtr,11.6,2.8,0.08227848101265811
10,0,linear,1035.548084776681,18.939091124173334,0.9662069359205635
11,1,linear,257.87730236768795,9.197692698431924,0.8507486554036628
12,2,linear,807.1408117149258,13.290364482773887,0.8782496125393872
13,3,linear,28.458910029819368,3.770731648409811,-0.15373959580348795
14,4,linear,14.942096095500284,2.6663804347810287,0.7373459670712841
15,5,linear,6.6080297698142205,1.6567933756385476,-0.5249299468802049
16,6,linear,48.210470501533955,3.6598009805227405,-1.5942854081542932
17,7,linear,3077.8243950648043,23.93983486514699,0.943882313562278
18,8,linear,73737.79624933955,163.75009173366746,0.9610777015282344
19,9,linear,7.822965043813641,2.338874203049521,0.3810945376729714
20,0,logistic,36533.833333333336,80.83333333333333,-0.19220940973207368
21,1,logistic,967.1666666666666,13.833333333333334,0.4402340798379447
22,2,logistic,8138.0,44.0,-0.22754869878195416
23,3,logistic,5.166666666666667,1.5,0.7905405405405406
24,4,logistic,74.33333333333333,5.0,-0.306640625
25,5,logistic,4.5,1.1666666666666667,-0.03846153846153855
26,6,logistic,7.166666666666667,1.8333333333333333,0.6143497757847534
27,7,logistic,62019.0,102.66666666666667,-0.130786668908639
28,8,logistic,2788701.4,953.4,-0.47200857308510713
29,9,logistic,147.8,6.2,-10.693037974683547
30,0,knr,12134.22666666667,47.333333333333336,0.604023506653964
31,1,knr,1449.88,16.46666666666667,0.16085464863908938
32,2,knr,6458.293333333334,38.93333333333334,0.025820892395489792
33,3,knr,26.546666666666663,2.9333333333333336,-0.0762162162162161
34,4,knr,9.700000000000001,1.633333333333333,0.8294921875
35,5,knr,2.706666666666667,1.0666666666666667,0.3753846153846153
36,6,knr,2.566666666666667,1.2333333333333334,0.8618834080717488
37,7,knr,7535.513333333335,36.50000000000001,0.8626056850204512
38,8,knr,2290847.512,842.2,-0.20921773026494983
39,9,knr,9.799999999999995,2.1999999999999997,0.22468354430379767
40,0,svr,37410.23272378362,83.49696776250798,-0.2208089708688723
41,1,svr,2069.7296074105557,20.04772496577353,-0.1978949834693975
42,2,svr,8915.470013407246,47.930291132802004,-0.3448234964349468
43,3,svr,26.279806336319997,2.9099406401654933,-0.06539755417513504
44,4,svr,73.00981860509255,5.664981468631667,-0.28337571766764236
45,5,svr,4.473004390703355,1.6654812197789017,-0.03223178247000513
46,6,svr,19.1390835080595,2.751565357401373,-0.02990583899871746
47,7,svr,65574.59312423215,105.57269395615214,-0.19561546822731435
48,8,svr,2813342.664186178,959.1410227062119,-0.4850153984604266
49,9,svr,16.04422106768461,2.688649861000656,-0.26932128700036495
50,0,gbr,6798.270208999115,35.13976847611143,0.7781518944612078
51,1,gbr,143.29196316511744,6.02575138788526,0.9170670781186118
52,2,gbr,4169.399933413195,31.62887214347597,0.37108116699890215
53,3,gbr,24.37745314500736,3.2294276324694144,0.011724872499701555
54,4,gbr,47.93815676392963,3.5035042669366967,0.15733708813404945
55,5,gbr,2.366828042977936,1.0845556910057168,0.4538089131589379
56,6,gbr,7.694428146316569,1.8271829544148004,0.5859500549067317
57,7,gbr,9321.194873948521,40.5776744051611,0.830047519280212
58,8,gbr,1810280.0617134322,724.4613227730127,0.044448512656389494
59,9,gbr,42.64233354430039,4.8645000632974815,-2.3736023373655377
60,0,rf,6136.882450000001,33.53166666666667,0.7997349761642965
61,1,rf,821.30175,12.718333333333334,0.5246561470072829
62,2,rf,534.8023999999997,13.829999999999998,0.9193295662047842
63,3,rf,18.482266666666668,2.4466666666666668,0.25071891891891884
64,4,rf,13.025966666666667,2.2966666666666664,0.7710279296875
65,5,rf,5.795716666666667,1.4349999999999998,-0.33747307692307715
66,6,rf,301.01228333333336,9.765000000000002,-15.197970403587444
67,7,rf,8672.7872,38.906666666666666,0.8418698761985604
68,8,rf,1987556.4242000002,768.08,-0.049126340996128226
69,9,rf,192.72629999999998,8.373999999999999,-14.247333860759493
