122.49,85.2,7.3,96.8,41.1,1.252336449,7.96511E-05,0.009756098,11,3,3,3,4,1
92.62,87.6,5.9,105.1,42.5,1.01085632,2.49919E-05,0.002314815,0,0,2,2,2,0
121.37,91.1,5.1,99.5,43.2,0.383529166,3.32895E-05,0.004040404,33,1,1,1,2,2
52.49,86.9,6.5,98.8,42.8,0.537480702,4.66385E-05,0.00244798,0,0,0,0,2,0
213.37,94.5,4.8,96.9,30.4,6.536027761,0.000157536,0.033613445,14,11,15,15,16,6
157.19,90.7,7.1,98.5,43.6,2.429125846,0.000356178,0.055986219,60,18,35,35,65,13
405.33,92.8,5.3,99,43.8,8.456079671,0.000842443,0.341463415,64,22,45,45,84,10
62.07,91,6.7,93.4,42,2.173206743,3.21239E-05,0.001994018,33,0,1,1,2,1
51.84,90.2,7.3,94.8,39.8,3.88735459,0.000355465,0.261904762,21,32,44,44,55,7
2.67,87.8,11.2,105.7,53.7,0.308800823,0.000413565,0.001106195,0,2,2,2,2,0
75.53,91.7,4.8,96.2,46.2,0.921280959,3.04382E-05,0.002298851,33,1,2,2,2,0
444.35,89.8,5.6,100.4,36.9,5.423250177,0.001711314,0.760429082,65,163,389,498,638,113
73.46,86.8,5.8,105.2,39.4,0.839112938,0.000121761,0.008944544,39,4,6,6,10,1
74.8,85.9,6.2,108.5,45.6,1.175572519,8.12661E-05,0.006079027,33,2,4,4,4,1
70.73,88.3,6.5,116.9,41.8,0.401293055,9.48879E-05,0.006711409,33,2,4,4,4,3
193.63,88.1,6,99.5,41,1.034537641,3.83178E-05,0.007419621,35,4,7,7,9,4
736.8,93.9,4.6,97.7,42.3,0.811730145,0.00029143,0.075829384,24,35,53,53,64,9
97.37,89.4,5,100.8,47.4,2.577125013,0.000190186,0.018518519,140,2,10,10,12,1
360.59,90.5,6.7,98.9,41.8,5.271307963,0.000514306,0.185454545,50,49,100,124,153,37
260.2,88.1,8.8,103.6,38,0.507520104,8.93304E-06,0.000354484,0,0,1,1,1,1
629.31,90.1,5.4,97,41,6.381614037,0.001513376,0.952380952,56,662,"1,458","1,880","2,260",475
20.55,90.9,6.7,109,46.7,0.427225376,0.0001016,0.002087683,28,2,3,3,4,0
67.41,86.1,6,92.7,41.7,0.28982882,0,0,0,0,0,0,0,0
749.02,91.1,5.5,93.7,40.3,3.784182251,0.000132747,0.099429503,55,38,87,107,122,12
110.94,91.1,4.4,97.4,41.3,0.552469417,9.53133E-05,0.010574018,25,0,4,4,7,2
216.23,90.4,5.3,98.1,41.2,2.003451437,1.12575E-05,0.002434215,0,0,0,0,1,6
163.04,93.2,4.7,96.3,43.4,0.691575858,8.33866E-05,0.013595166,33,4,6,6,9,2
21,89.9,7.6,101.5,41.8,0.29147021,0,0,0,0,0,0,0,0
544.91,90.3,6.6,93.4,38.6,3.127665624,0.000158529,0.086383602,43,42,76,96,118,21
70.51,89.9,7,99.1,42.4,0.594073411,8.08162E-05,0.005698006,67,2,4,4,8,3
239.74,91.8,5.8,97.3,39.9,3.029145984,0.000194444,0.046616541,17,20,29,29,31,1
62.59,90.3,8,111.2,31.9,0.347389931,1.72074E-05,0.001077006,33,1,2,2,2,1
32.68,87.7,7.1,101.3,47,1.533000669,0.00010421,0.003405995,89,1,3,3,5,2
53.63,88.7,7.5,98.7,44.1,1.113132048,6.10706E-05,0.003194888,33,1,1,1,2,0
"1,898.23",87.6,6.5,93.7,40.6,22.68935353,0.004942509,9.382,55,1387,"2,894","3,891","4,691",1253
"1,566.27",87.3,6.3,96,36.2,8.605665978,0.00310568,4.864321608,61,262,592,671,968,229
47.34,89.4,7.3,102.7,38.6,0.614244378,4.08614E-05,0.001934236,0,2,2,2,2,0
108.46,89.7,7.2,100.4,45.7,0.811309158,0,0,0,0,0,0,0,0
77.78,86.4,9.3,105.7,42.6,2.187833511,0.000502921,0.039117352,54,12,23,23,39,14
30.41,86.2,8.2,120.8,40.5,0.788212869,1.93802E-05,0.000589275,0,0,0,0,1,0
89.94,88.5,7.7,97.7,42.3,0.38903399,7.41262E-06,0.000666667,0,0,0,0,1,0
189.89,91,6.2,95,43,0.894349884,5.54352E-05,0.010526316,57,4,10,10,12,2
74.72,88.4,6.6,107,43.6,0.861114089,6.32751E-05,0.004728132,78,1,3,3,4,0
570.74,92.6,5.3,93.7,37.8,5.867008492,0.000499665,0.285178236,21,88,127,146,152,19
67.75,89.6,6.4,97.8,43.6,0.651373549,7.46491E-05,0.005057803,39,3,6,6,7,1
44.25,89.8,8.2,97.7,43.7,1.082708923,7.74966E-05,0.003429355,19,3,4,4,5,2
579.44,90.8,6.4,93.3,38.8,3.113212704,0.000139179,0.080645161,77,17,52,52,65,18
97.75,90,6.5,97.4,44,0.854133475,1.95599E-05,0.001912046,0,1,1,1,1,1
56.16,87.8,6.7,100,44.4,0.385302133,5.9433E-05,0.003337598,17,2,3,3,3,0
104.19,87,7.6,99.4,43.4,0.562296537,1.8008E-05,0.001876173,0,1,1,1,1,0
102.18,89.1,4.8,100.5,40.4,0.461421038,4.58765E-05,0.0046875,17,2,3,3,3,0
39.68,85.9,4.9,110.7,42.2,0.665130063,0,0,0,0,0,0,0,0
98.28,90.6,4.9,94.2,36.2,0.633045843,4.05383E-05,0.003984064,33,1,2,2,2,0
