,fold,method,MSE,MAE,r2
0,0,dtr,10089.166666666666,42.166666666666664,0.6707599959027428
1,1,dtr,2247.0,20.333333333333332,-0.3004935611967652
2,2,dtr,10187.5,46.833333333333336,-0.536698497031354
3,3,dtr,19.333333333333332,3.3333333333333335,0.21621621621621623
4,4,dtr,56.166666666666664,3.8333333333333335,0.0126953125
5,5,dtr,5.333333333333333,1.6666666666666667,-0.23076923076923084
6,6,dtr,6.666666666666667,1.3333333333333333,0.641255605381166
7,7,dtr,64896.833333333336,104.5,-0.18325793688577896
8,8,dtr,1769177.0,708.2,0.0661446538144993
9,9,dtr,10.6,2.6,0.161392405063291
10,0,linear,1035.548084776681,18.939091124173334,0.9662069359205635
11,1,linear,257.87730236768795,9.197692698431924,0.8507486554036628
12,2,linear,807.1408117149258,13.290364482773887,0.8782496125393872
13,3,linear,28.458910029819368,3.770731648409811,-0.15373959580348795
14,4,linear,14.942096095500284,2.6663804347810287,0.7373459670712841
15,5,linear,6.6080297698142205,1.6567933756385476,-0.5249299468802049
16,6,linear,48.210470501533955,3.6598009805227405,-1.5942854081542932
17,7,linear,3077.8243950648043,23.93983486514699,0.943882313562278
18,8,linear,73737.79624933955,163.75009173366746,0.9610777015282344
19,9,linear,7.822965043813641,2.338874203049521,0.3810945376729714
20,0,logistic,36533.833333333336,80.83333333333333,-0.19220940973207368
21,1,logistic,967.1666666666666,13.833333333333334,0.4402340798379447
22,2,logistic,8138.0,44.0,-0.22754869878195416
23,3,logistic,5.166666666666667,1.5,0.7905405405405406
24,4,logistic,74.33333333333333,5.0,-0.306640625
25,5,logistic,4.5,1.1666666666666667,-0.03846153846153855
26,6,logistic,7.166666666666667,1.8333333333333333,0.6143497757847534
27,7,logistic,62019.0,102.66666666666667,-0.130786668908639
28,8,logistic,2788701.4,953.4,-0.47200857308510713
29,9,logistic,147.8,6.2,-10.693037974683547
30,0,svr,37410.23272378362,83.49696776250798,-0.2208089708688723
31,1,svr,2069.7296074105557,20.04772496577353,-0.1978949834693975
32,2,svr,8915.470013407246,47.930291132802004,-0.3448234964349468
33,3,svr,26.279806336319997,2.9099406401654933,-0.06539755417513504
34,4,svr,73.00981860509255,5.664981468631667,-0.28337571766764236
35,5,svr,4.473004390703355,1.6654812197789017,-0.03223178247000513
36,6,svr,19.1390835080595,2.751565357401373,-0.02990583899871746
37,7,svr,65574.59312423215,105.57269395615214,-0.19561546822731435
38,8,svr,2813342.664186178,959.1410227062119,-0.4850153984604266
39,9,svr,16.04422106768461,2.688649861000656,-0.26932128700036495
40,0,gbr,583.0202838805369,11.257222656460018,0.9809742858854932
41,1,gbr,138.58177165113418,5.895774709252297,0.9197931901506273
42,2,gbr,2008.5364327384389,23.392246997986046,0.6970292105598158
43,3,gbr,24.89861917278587,3.25013260047336,-0.009403479977805551
44,4,gbr,46.88679130540953,3.4636400347528564,0.17581812158459809
45,5,gbr,2.3253962174356824,1.0408149290426418,0.4633701036686887
46,6,gbr,11.434544792154108,2.116183136915387,0.3846881726195098
47,7,gbr,12833.00884168587,47.4205049914849,0.7660169412572747
48,8,gbr,1815515.461456684,723.8789565813919,0.041685020908727166
49,9,gbr,89.95669122697419,6.4459396062517955,-6.116826837577072
50,0,rf,10366.51675,43.095,0.661709224358376
51,1,rf,606.176666666667,11.34666666666667,0.6491638398096492
52,2,rf,145.81531666666663,7.644999999999999,0.978004988665932
53,3,rf,19.416000000000004,2.6,0.21286486486486467
54,4,rf,16.040699999999994,2.2566666666666664,0.7180345703125001
55,5,rf,1.3947500000000002,0.8883333333333333,0.6781346153846153
56,6,rf,75.56338333333333,4.505,-3.066191031390135
57,7,rf,12017.836033333333,45.71666666666666,0.7808799113880712
58,8,rf,1984416.0642000001,768.436,-0.047468710371862066
59,9,rf,32.08938,4.2379999999999995,-1.5387167721518993
